route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,exceptional,sub_agency_id
L2,1111100-11,2_7287_230515,"Nádraží Braník",,0,,L2V11,2,2,1,1
L2,1111100-11,2_7288_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7289_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7290_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7291_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7292_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7293_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7294_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7295_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7296_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7297_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7298_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7299_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_6123_230515,"Vozovna Pankrác",,1,,L2V12,2,0,1,1
L2,1111100-11,2_7300_230515,"Sídliště Petřiny",,1,,L2V20,1,0,1,1
L2,1111100-11,2_7301_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111100-11,2_7302_230515,"Sídliště Petřiny",,1,,L2V19,1,0,0,1
L2,1111100-11,2_7303_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111100-11,2_7304_230515,"Sídliště Petřiny",,1,,L2V19,1,0,0,1
L2,1111100-11,2_7305_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111100-11,2_7306_230515,"Sídliště Petřiny",,1,,L2V19,1,0,0,1
L2,1111100-11,2_7307_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111100-11,2_7308_230515,"Sídliště Petřiny",,1,,L2V19,1,0,0,1
L2,1111100-11,2_7309_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111100-11,2_7310_230515,"Sídliště Petřiny",,1,,L2V19,1,0,0,1
L2,1111100-11,2_7311_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111100-11,2_7312_230515,"Sídliště Petřiny",,1,,L2V19,1,0,0,1
L2,1111111-41,2_7313_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111111-41,2_7314_230515,"Sídliště Petřiny",,1,,L2V19,1,0,0,1
L2,1111111-41,2_7315_230515,"Nádraží Braník",,0,,L2V18,1,2,0,1
L2,1111111-41,2_5060_230515,"Vozovna Strašnice",,1,,L2V13,1,2,1,1
L2,1111100-11,2_7316_230515,"Sídliště Petřiny",,1,,L2V1,2,0,1,1
L2,1111100-11,2_7317_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7318_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7319_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7320_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7321_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7322_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7323_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7324_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7325_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7326_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
