route_id,direction_id,stop_id,stop_sequence
L9,0,U539Z1P,20
L9,0,U997Z2P,21
L9,0,U484Z2P,22
L9,0,U1072Z2P,23
L9,0,U203Z2P,24
L9,0,U142Z2P,25
L9,0,U172Z2P,26
L9,0,U339Z2P,27
L9,0,U516Z2P,28
L9,0,U586Z2P,29
L9,0,U469Z4P,30
L9,0,U469Z2P,31
L9,0,U34Z2P,32
L9,0,U512Z2P,33
L9,0,U837Z2P,34
L9,0,U714Z2P,35
L9,0,U180Z2P,36
L9,0,U266Z2P,37
L9,0,U694Z2P,38
L10,1,U694Z1P,1
L10,1,U266Z1P,2
L10,1,U180Z1P,3
L10,1,U714Z1P,4
L10,1,U837Z1P,5
L10,1,U512Z1P,6
L10,1,U34Z1P,7
L10,1,U469Z1P,8
L10,1,U373Z1P,9
L10,1,U921Z3P,10
L10,1,U515Z1P,11
L10,1,U118Z1P,12
L10,1,U518Z1P,13
L10,1,U540Z1P,14
L10,1,U851Z1P,15
L10,1,U744Z1P,16
L10,1,U476Z1P,17
L10,1,U190Z1P,18
L10,1,U739Z1P,19
L10,1,U237Z3P,20
L10,1,U237Z4P,21
L10,1,U237Z6P,22
L10,1,U901Z2P,23
L10,1,U1040Z2P,24
L10,1,U25Z2P,25
L10,1,U805Z2P,26
L10,1,U254Z2P,27
L10,1,U240Z2P,28
L10,1,U289Z2P,29
L10,1,U580Z2P,30
L10,1,U567Z2P,31
L10,1,U865Z2P,32
L10,1,U394Z2P,33
L10,1,U395Z2P,34
L10,1,U113Z2P,35
L10,1,U236Z2P,36
L10,1,U47Z2P,37
L10,1,U612Z2P,38
L10,0,U612Z1P,1
L10,0,U47Z1P,2
L10,0,U236Z1P,3
L10,0,U113Z1P,4
L10,0,U395Z1P,5
L10,0,U394Z1P,6
L10,0,U865Z1P,7
L10,0,U567Z1P,8
L10,0,U580Z1P,9
L10,0,U289Z1P,10
L10,0,U240Z1P,11
L10,0,U254Z1P,12
L10,0,U805Z1P,13
L10,0,U25Z1P,14
L10,0,U1040Z1P,15
L10,0,U901Z1P,16
L10,0,U237Z5P,17
L10,0,U237Z1P,18
L10,0,U739Z2P,19
L10,0,U190Z2P,20
L10,0,U476Z2P,21
L10,0,U744Z2P,22
L10,0,U851Z2P,23
L10,0,U540Z2P,24
L10,0,U518Z2P,25
L10,0,U118Z2P,26
L10,0,U515Z2P,27
L10,0,U921Z4P,28
L10,0,U921Z12P,29
L10,0,U469Z2P,30
L10,0,U34Z2P,31
L10,0,U512Z2P,32
L10,0,U837Z2P,33
L10,0,U714Z2P,34
L10,0,U180Z2P,35
L10,0,U266Z2P,36
L10,0,U694Z2P,37
